STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,log_total_exp,log_federal_rev,log_state_rev,log_local_rev,log_instruction_exp,log_support_services_exp,log_other_exp,log_capital_outlay_exp
Alabama,1992,,2678885,304177,1659028,715680,2653798,1481703,735036,,174053,14.7915023794479,12.6253650477964,14.3217424466673,13.4809884186667,14.2087026598961,13.5076747565874,,12.0671151295174
Alaska,1992,,1049591,106780,720711,222100,972488,498362,350902,,37451,13.787613015067,11.5785259220542,13.4879935037349,12.3108830098825,13.1190819995679,12.7682622611846,,10.5307886908586
Arizona,1992,,3258079,297888,1369815,1590376,3401580,1435908,1007732,,609114,15.0397505875264,12.6044728559162,14.1301862521897,14.2794810242273,14.1773079596856,13.8232128192471,,13.319760721292
Arkansas,1992,,1711959,178571,958785,574603,1743022,964323,483488,,145212,14.3711309463387,12.0927415602203,13.7734221368643,13.261434646537,13.7791815797125,13.0887817745396,,11.8859500225861
California,1992,,26260025,2072470,16546514,7641041,27138832,14358922,8520926,,2044688,17.1164761753359,14.5442516906154,16.6216860031597,15.8490444084051,16.4798820491286,15.9580355783457,,14.5307557685823
Colorado,1992,,3185173,163253,1307986,1713934,3264826,1642466,1035970,,364760,14.9987170267764,12.0030564236926,14.0839991075781,14.3543018709807,14.3117093289744,13.8508487438533,,12.8069948820476
Connecticut,1992,,3834302,143542,1342539,2348221,3721338,2148041,1142600,,48542,15.1295938390003,11.8743829542854,14.1100731552225,14.6691685781584,14.580066821952,13.9488169252725,,10.7901846815632
Delaware,1992,,645233,45945,420942,178346,638784,372722,194915,,30595,13.3673216480463,10.735200307935,12.9502503359528,12.091480762725,12.8285881124346,12.1803188450791,,10.3285918758966
District of Columbia,1992,,709480,64749,0,644731,742893,329160,316679,,47272,13.5183073025622,11.0782735354271,-Inf,13.376588454523,12.7042992337197,12.6656439215186,,10.7636734330255
Florida,1992,,11506299,788420,5683949,5033930,11305642,5166374,3410440,,1667826,16.2408124511132,13.5777862217725,15.5531567956043,15.4317115491377,15.4576816464557,15.0423518731938,,14.3270315399127
Georgia,1992,,5536901,398701,2798674,2339526,5535942,3043984,1559059,,526644,15.5267722993461,12.8959670415178,14.8446562915465,14.6654589027124,14.9286777417081,14.2595929920961,,13.1742800774342
